id,sound,text
04KvgVpoJ6odgCXwkF7b,e29daa1b-6aab-4a64-b09f-587bbf43256f.wav,Analalamika njaa wakati
04Ruir90bdTxtI0qT0rE,1fa2ace7-4f14-4e54-af23-bc1a84565a55.wav,wake amekwama juu
04Y2W5RfqieavWxAqfwL,e5c68a19-676f-4366-8bfe-7bbc129692cb.aac,wake
04fNqcS3h0y9j71BREZb,fa020dd1-66bb-4bb4-8c83-640c6306832b.wav,“badilika!”
04lNRqzKo1TcLIhYLsCd,5f84192a-a55e-4ea4-a490-9fd80ee6ee8b.wav,jua ni
04uYVmWSP84fmIiC2biN,8a724869-522f-4684-a289-572419c6263c.aac,ya makao makuu
04usnvdFAkn0UDKsj1d4,3efe2dff-6f70-43e3-bfd2-106a6d2f49e1.aac,kuanzisha
057OyDomvRtWawWBOg0H,11f72f69-8e95-46b7-b2de-6a2bbd6d8f36.wav,utamu likipikwa na
059yPfnUq6s9m91O8cUM,d625d7ae-a23e-4824-ae44-242aebe4d675.aac,ni lazima liwe
05IiwdqIshoXy8FoGPB7,e666147e-e8a9-4acc-a154-e6eaec2d2cb7.wav,Adui
05PwWfpKCxbc5QyELL0h,b3546606-3a58-4f43-bf38-7a8cae917693.aac,ya mwezi mmoja
05VLfTXp7dYm5ADhzMWj,7522723e-42d1-435b-9fce-d8b7f89bbf1b.wav,kama jike dume
05VlW1gXhzg2ybGT0pnM,2522dd94-8457-4ee3-b966-341affd34b9b.aac,mradi
05Z9yyUwun6ka5m2QWmK,0dff834e-4ae8-4995-ad8e-15d4caf64d47.wav,nakudai pesa nyingi
05aTDZW4ipYFuFrG5vGr,8e667ba5-f6ac-4635-a232-cc5441b5b019.wav,jifanye mjuaji ipo siku
05hBagTyrPj7VmFu1nkb,854c36ad-d9e5-4240-88a8-4f6c4d75a905.aac,vifaa
05jdvqHjFvJ4Uk520qTR,1b040275-bd37-4e8b-b7b5-da1cbeb46733.wav,Mama
05lTahzJfatveqcjAEkp,3af53a15-19b5-4152-b6ed-af09188f6336.aac,huwafunga
05o1fFra5HhXhEd6vVrJ,32cf4d79-aedb-4422-9d3e-80e016379e0c.aac,Kakunda
05sybUZegBWlqDtTnjug,f5f305c0-5978-40ae-ac0b-728bf2c01225.wav,katika matayarisho ya
05zZXPUKS4PF4790e6K0,e3398bed-632f-4df3-b181-32033bdbf2e8.wav,Tarehe tano agosti
0600QrFGvqnPY9k6GOKL,c74a88a6-921d-4d8e-a53f-0d01cb1f6f8a.wav,huko
068EtnG4zLRQ8wSAi8Fr,45235127-8a1b-4591-942d-4c6ffbcbbe5d.wav,kila
068mTZvy6MCGduSRLYMt,19cce9ca-e21d-4772-a716-3e5779f147b6.wav,abu
06AlRTPqwcsWmPxQ0VyH,6ce720ce-619a-4ef4-bf82-b353f6ea09b6.wav,Yule
06BHXAsOFP7JWRpQ2rQd,9902d7ed-8609-41f4-ace2-1af12305ecd8.aac,ya ArushaMoshi karibu na Uwanja
06G2Q83AFoA9A2hX7Kun,f17f037a-fb48-4ad9-97f5-c77ca190e2ad.wav,Safari hii jubilii
06G6WXmjDmxvcmXc6OjK,04b7482f-8b49-4c8c-a9cf-c729f15c15d0.aac,kutembea
06NKFk0GkpiW1HH2eGrP,8e90fb69-6249-4fc5-9d3c-8c66b8a5d3c4.wav,na mvua siku
06Q46PjrqNab3QniJAiC,9ef15873-37b1-47ba-a4d9-ff6a8a35aa4f.wav,kazi ntakupatia zawadi
06UenxKyLsiW8IOsMr52,bcf37f1b-dee0-418a-89a6-489cfc5bc41e.wav,Baba
06XjH7rPIUIeDzQ8eTIj,ea912c1e-1c4b-471e-b388-19a671b16f59.aac,Dar es Salaam na
06fSDRKTOvvIeKhFIFfM,ab763374-5b63-45e1-bd06-c3590be1c571.wav,tunapenda kula jodari
06gmRPrgA5vj8z0LvLDW,d0834805-e9bb-4554-88ae-7d59f79ae923.wav,Mwanafunzi
06tXKZMEBYmbLYX46hnw,4730a547-c4c3-4e1c-86d7-d2bc10dcd6b7.wav,Usiruhusu motto achezee
07D47A1dy0nVEFlDVe8U,f306b6e4-a571-4fcd-882a-0bfa9d0f3f46.wav,ina nguvu zaidi
07Ln3S8a1REc5hfici1P,fa9b6eb5-6078-4217-a0cd-4ffdb2d6bfdf.wav,Rose aliondoka jumla
07Q81I1TfpRBCHZRpvLL,1549fe66-d073-498a-9144-85596e9be90a.wav,unapaswa
07VA7Ety3uXTfEhPtKfU,96ca1439-52b8-4d5a-a479-e731df762583.aac,na Mamlaka ya
07X3JVCZJiprD8eU9DWe,500b958b-47e4-4b32-9833-b2832e47b5c2.wav,Mafuta
07aTiehgA4lS7iOxTO5u,692ed41b-2d99-4426-b273-1f5da0cc554a.wav,utamu likipikwa
07dwaH5WEbT3cnvMyrgP,d6ed7b8e-3717-4c1e-929f-028c0a699812.wav,Baba
07jWRvfkrPUGn4njWPju,a5a97ad3-5303-4f21-8fca-56c24ff48868.wav,Agua
07x08pVfm7yFEuYYA2ej,58665dd3-5665-4937-ab81-cf59dd69a9da.wav,Jumamosi ndio siku
082OS2iVqZnBeE41ADEX,2204125c-a259-4f85-9ab8-61e2a8cff445.wav,Jua limeunguza mazao shambani
082kl1UHWQGAgJIB5eQw,d17aedb3-1db6-4c5f-af10-9ef4eb8676da.aac,ambako kwa
083J2P4T4H9ECFD7gLSh,61b844ea-daae-4345-8f1b-cff0ffd9b503.aac,Alisema
08585tnp0jZEUQg2dHvB,023fc6a9-0935-4dcd-95e8-8f85e2afc922.wav,ni mwezi wa tatu
085S6aiUJlmENz2zFokH,9039ad80-7fc1-4633-8544-c10f3910d150.wav,itafanyika
0880M82afaoqXEgGzsPo,8e4bb976-715c-4e80-b762-d7a868090892.wav,linaongezeka utamu likipikwa
08EUB4BnokJJobnFKjPE,a69ec9d0-021f-4431-9ab7-b8f76cf6890a.aac,hadi
08EtMUKRYOKvItt6ckSN,49692332-b097-4169-af48-9b6aea93d78a.wav,Amefanya
08FqCxeYzZfGTfvUCZjk,9b3a949e-eee2-4e34-a7ad-d37fa4d0db48.wav,hupa juu
08HAI8vcPDEmVP18P54f,d89c2824-8564-45bf-b2c7-5f309276ff7d.wav,Watoto
08Qmi1xH2bpt5kwOShlZ,364a2755-b626-4278-b87f-9a80cc3f5b43.aac,Shirika
08TeitMysXwnMnhulUxg,ae6bad23-5944-4e76-94a1-be0b9444fbcb.wav,mabadiliko
08YPRBnrcgZ1qB2ife9O,34f06d35-bffb-4699-bae1-382e48eff12e.wav,yote tutapata idadi
08k51dA1TI2VwboELpmN,d9aa59b0-2ebd-467e-8a8a-e86d186a7cb4.aac,kujua
08kiThZJxzW0bMRI5ygG,30cf22c9-fff0-48c9-9e4e-eebd9ba886b4.wav,waingereza
08pR7p1zVzelon38kQMy,24770e4d-83bd-4710-afde-c210555a39a3.aac,mdogo Wato wana
08sPArNbYga1NsH09cqf,78e66bdf-5bed-419e-9d23-a7b17ccaa016.wav,Mama huyu ni
08tmwlQ7BdgZfCDRZ62C,2bc2c9c4-4d96-4f45-8b75-02e3da9111ce.wav,na mambo yasyiofaa
08vQHFPRQu0s8MlI9rdK,ab0affc8-71a5-4ed8-bc81-95ce9f458b28.wav,Tutafanya maandamano ya Amani
08ymhYu4IvWmpQildkzr,1588cc14-4521-4a96-9b13-2932dad7377d.wav,nini mwilini Wingi wa
098gssulX2hUR6mbAWdZ,801c0096-b755-4670-80d3-c41a06ac95e3.wav,Tuwe makini tusijechanganya
09DDxUDy1CP4MV9ChZmE,2c1ac2d7-d947-45d2-a9ad-e09848b71466.wav,Wapenden
09FSxIlriDsRag5i0XzA,eb9105e7-7d41-442e-a665-cebe7765b5ea.aac,kuwa 
09HHMwhzt1fVkrGUjYRt,9a66adc1-f2e8-413e-8c41-a48c36b7c14c.wav,ya
09NZAZFnargZHyrqGjbH,4477ed01-bba9-4f30-842c-d5fcbee4c958.wav,kina mama kwenye
09O1YHxR9SI5fG0BcHvm,1b27cd28-3749-4073-bf1f-b49caac9cbee.wav,Mzee
09O3Y9iSHT7d4dD1WxG5,206ee512-55f2-4606-8f67-18f27c245b07.wav,ndio
09Qd84CAA1aJl6FdWuEz,8e67682b-d212-4a13-9af1-8e9830fb3c00.aac,za
09XfnBAPPU8eepCuqw76,cd5e457c-22b0-4960-ac33-a2a07be7239e.wav,Majoho yatapatikana shuleni kwa
09en88LhjSl2rNoa9mTz,6b07d9e9-525f-4073-a5fe-9e3e926d64c5.aac,alisema
09gRFTRJOG77dcybunEk,d83d309d-afd4-4796-a80f-383f08fcb920.wav,Fundi Musa anatengeneza
09xdYj4nFJAC4q5zFs3C,a255dc32-515d-47b0-b6b0-ed09bdf9845f.aac,fedha zinazoidhinishwa na
0A0EhRM5ImYYS1K1f6s3,fe7f59cb-b865-4cf2-95b0-b8ad1e545d15.aac,Julius
0ACJ4JquNbrQWqrvXUaB,d4fe715a-6fca-45f4-9e09-b184ee8bb112.wav,Nikimaliza
0ADT5mKQOal5Utr0JaQT,bc419609-345b-489b-aff6-77add1bcc52c.aac,Sungura akasema labda
0AQhCwECDohBOwsNg7Hm,fd6b61e2-ae9e-46bb-ad55-e246a23cd77b.wav,wake amekwama juu
0AXHJepAL2nisxlHvUWC,c359d233-c82b-429a-90be-83edd377e674.aac,alisema
0AaH9vSAjcaJAInTDJcl,ab31fc4f-7f16-4f5c-a55b-a8d177393321.aac,kwa
0AddS1Go2PGjXyFsYDqe,374091e0-efed-4795-96dc-1bf539f19984.aac,kuongezewa damu yenye
0AeKlRiSCg9NaW5gACdq,f7b3bae6-15bc-4968-b769-2a791eb75ee7.wav,ifikapo saa kumi na
0AeyH9Y2lVgRB3oHxY5B,102d50d4-a663-457b-bb68-d23f01aecacd.wav,samaki mtamu sana
0Aj4YGGmUJMK8U2Yhqf5,cb8b0e16-9c4f-4c91-b851-69700bfb9e43.wav,kasema Jumamosi hii
0AnpSUGmQxf5kjCSNmXx,e8977dfa-a98d-4ed3-a8dd-90b960df2756.wav,Hawa watu wanajuana
0AoHWtRUWnD5oSbgyGXD,d23d186c-1649-4eae-9dc8-80f0eabf8593.aac,mafanikio hayo bado
0Aq149Sp3KDrk26VC6ks,5393b1ff-7e0a-40f6-b20c-d2ee535cc9d0.wav,Afya
0ArWytKPi8gQchzebeJF,aad9f8df-bfdd-4126-8747-b196bdb86f22.wav,athari za ugonjwa
0AwwnltnvSYvBUHMwn4X,3137436f-4dd3-4e24-8098-4a111a675e16.aac,vyanzo mbalimbali watakavyovianzisha
0Axq1ZB9LHYF9GgQZmPu,016d88f2-f3fa-4481-95c1-fffd928a83c3.wav,zao zimeshonwa vibaya
0B1TV9WRpEVf1UXvc8DO,2e34fd4c-5ac3-4127-8f16-83a6695baace.wav,ndio maana ame
0B2vhtDP9V5tJYtupaSR,54b850b3-ab76-4a0d-b112-5d8c60cd236b.wav,jozi tatu za
0B4ZNdoEPmCfxxdgxnUv,6893fb40-deec-488d-ad90-070de638f817.wav,Afadhali
0BCsnxPofqt7mfuC200z,01cbdae3-9b4d-4efb-8346-9cb804ce8ab6.wav,jifanye kama unalia
0BHew2ZhBVoQx7Mo6QwE,adeb3836-07aa-478c-8f11-93e5acab71b7.wav,achia
0BJU77fwMgyhfxb8SlWx,8cd21416-7c70-4b3e-ae2e-ed25cd9c2779.wav,chache sana hivyo
0BW7hhBVwkSMggaPMuU5,907b0fc0-d603-4e52-bad9-93e892bc2254.aac,Maji
0BWWSYo7hdResmaEKYOe,af7023a1-ef3d-4025-9438-68ba1e2393f4.wav,ya wazee wote wa
0BcOTorbrpZq1NWwZxwr,420c119a-a029-4bd2-98e8-af856a487522.aac,ikiwemo
0BiJsXk79T5vnrTo1lyV,f860f5d6-973d-4630-a0bd-acff3b4a596b.aac,uvuvi zimekuwa zikikithiri
0C2MbHfzCwsn55YIF1ea,1e5eaf8b-577d-4b2a-b3c0-1f93b91e704a.wav,majogoo wawili bandani lazima
0C3puQWwRTOMvUy7g32w,1828a031-7fae-4287-8c85-35b06728460e.aac,na kueleza zaidi
0C5S3l8Kwfw1eCf3lNuk,33d5de3b-2350-4ad8-81d8-9d8feb8ebb9d.wav,mama
0C7OA4D4XKmal5qWMNNC,0130d413-2740-4b45-8cf7-50e438f058b6.wav,mabishano ya utani wa
0C95qZv63drl91enkMrO,f8b8ce48-471e-4f8b-bf09-f6fcf25a5f5d.wav,shuleni kwa shilingi
0CAvpkMC4e8VNuxTnzu5,1e7807f0-e363-40fb-ab40-ccd10ff35d08.wav,Siku
0CDy14eV4iSCDGcaLquA,4a068645-4206-480e-abdc-cfb10613b636.aac,naye
0CF5dkgrCeWO1WPcfMO3,a62f9407-ceb3-4aa9-96bc-f3e9bffc7ee7.wav,aliyopewa sasa mali
0COnmHlcYH6Gv5JaKBzW,8a3e4af6-d68b-4580-adec-407c0fb7d9a8.aac,huyo
0CcIP7CZrDXfYD9JUcO6,b42ab30e-a700-45cf-88af-4f496b0a8836.wav,lazima kwa watahiniwa wote
0CdTcULlao0W4YccrAfZ,fc9cbb7f-ccd7-49a0-8456-ec10305aa54e.wav,kazi kwa juhudi kubwa sana
0CeLbkplSCd3Fmsyk7lm,b7ad007c-3a20-4e22-a9e7-615081663506.wav,itawakilisha nchi katika
0Ck71XlgZPRFZFLsk6uq,fcfb621d-3e80-4f9d-a3a7-190d27b165c6.aac,la Operesheni Nzagamba  
0CnQELI3cV8Wy2yRqPhD,5fa9e6a1-b434-4eae-b1d0-5fcfc02a308b.wav,kuwa ametenda makuu
0Crtn7KQQ1SU8KZhh4T9,8c03c33e-2e7a-4bbd-a2ad-d7554cdd908b.aac,katika nchi ya wanyama yalifanyika
0D5xLi7lnVNK8UOLWuuK,2c9967e1-3ec2-4bc8-948d-a9d288464d2f.aac,kati
0D91ER3XzXof5euZn5yb,eeb38384-4038-48ce-935d-08f0ac8a4538.wav,aliyopewa sasa mali
0D9MJ1f4Ug82Pdz2gW9A,ffbb6625-8953-4a5b-a650-c147c15d7afa.wav,motto jina
0DKW6jRz5Mr2vxcSZeWN,7198e095-658e-418f-a582-4d4a448e5240.wav,siku ya kuafiki jambo hili
0DSqjsErsW540HGPRT9s,f6558d63-999b-49ad-b984-4fcc54356856.aac,la
0DZ6Mo39c1EnvBpKkbX6,a7fedf1d-2076-4345-b0b8-ff9cf5fd63f3.wav,nini
0DZSzR0u9IZuJtsg4Zux,be2e2401-e299-499b-9785-fb6ce15b317b.wav,Agiza
0DdYd7FMN60C66DjzXfQ,8e349a39-341b-4216-b021-8ffb56eb760b.wav,unajua
0DdbFHxIAIAustSShYnk,36a46e8d-6480-47ee-b763-ad1cece76396.aac,mara kadhaa Mkaguzi
0DjYkFYeMnVlTWnaXWG8,768d54f2-928a-47d3-8723-9712e57281cf.aac,wa wakurugenzi
0DuPFlUeSsYcBGD2XxK6,7c39a735-a3a6-4b2f-91c1-0e27aa7e3ab0.wav,Nimetoka kwenye
0E1lF3hZJNXOyugYUjC5,18d4714d-3ceb-42c8-8f3a-0b24f6d9e525.wav,Achana
0E2Vro8kk1dJiUEDB87F,0a367d6c-1890-41db-8cd6-3b0a5eafcd0c.wav,Kipindi cha Mussa
0EFJltBo4XZzFRM680M9,07fe8758-32bf-4e78-8778-f1e37f2c1abb.wav,motto jina lenye
0EWyKX89SdkBUVOzKRCS,bc42e4b2-6e1d-4d0e-845b-c2773549b1fc.wav,Amemaliza juzuu
0EYExP1IRPuwqIpqJVNP,ae4ff210-6907-417b-b737-27780dd4ca66.aac,kuondolewa
0EsRMbwmvCrRnjo6xtZm,484f3120-856c-434c-b425-d7fefdbc2e91.wav,achari
0Evu137gfeRtprrkAJ31,2f4b1d08-182f-4909-9032-e3ce224f2c9b.wav,asubuhi sana
0FJiIjF64iUc2Ir0pOFU,ea301ea7-afd9-4b67-b580-f2809db50f19.wav,jioni na usiku
0FK4Dv3lt7YEbhjQIbJI,6df27114-691d-434d-9d06-4587c3a22e11.wav,jozi
0FQc6vAr5uYqhgyUHkdG,6fc52b42-f443-43f4-a8e2-7e2777c90b5a.wav,Ametumia vizuri pesa aliyopewa
0FVXqe1Zj88URUTZ8hNx,103d45d4-73ce-4eff-9d4e-fda3ffea36a9.wav,sana kwenye kila
0Fmr17e938tnhoUdY0xB,69ea9863-8595-471a-9657-92c38258f89e.wav,Dada
0FrNb1VGJceYUlHYUigI,94541249-4302-48d6-9c5b-857730e8a2a6.aac,Msuya Msudani alidai
0FsGKBFVsLFIYC5WKUQB,fcf8c56b-6dc3-4287-b07f-637796bb0db9.wav,wanafunga
0FzK0VUwPWcCUlyy7Xy9,20e4c564-1bc4-42d6-bcad-ba8951a466ad.aac,na nguvu kazi
0FzKnmUD7SqjELDjj3SF,c2dbef93-32b5-4a76-bc23-e46fd892b307.wav,Dada
0FzsSbllaTaPlKZAwdY1,72712e1c-0a62-49cf-bd73-cc150af63577.wav,bibi
0G2ETYWrRotIR5VKC2ZE,ea01f41b-edf3-42d9-a642-a383a1784a18.aac, sawa na upungufu wa
0G2qSXevAUyOuU1T9z9a,fad604c8-bf96-4060-9045-042240212904.wav,ya filamu hii yanafurahisha
0G5UqZATDHojzH6QUQUf,03de3360-bf67-4401-8d5f-29c78500ce70.wav,Halaiki
0GAaTDKsd9hnLlVL7FiO,120dffb1-a578-46fc-a681-6010bc371dcd.wav,Mimi ninajuana na mkuu wa shuke hivyo nitafatilia
0GBMJZlZK4awaO0w7VbK,c211872c-ed03-4f7c-9876-719e49db7e98.wav,mtukufu hana jinsia
0GbYrZ4cfzjUTzfGs5v4,1516472e-6dfc-4ceb-ae94-358c5c21c44d.wav,Achana
0Gc8ejHm9kSpY7ATYuLP,eba824bf-6da2-4448-b8e3-9ddb44400c01.wav,ushirikiano
0GpMb5oLUY33aoYplQU8,f6568814-7f22-4afa-aeba-2655a6400ec8.aac,sana
0GtPctwPpFmIJFOcJ2Tw,5049a56f-a83d-4634-9da7-d46c2b1cac85.aac,cha Waandishi wa habari Wanawake
0H1B9tyrIyifpawKfeTg,b7adad2f-2dad-445a-8380-ff40c384b0f4.wav,nae anajifanya kama
0H6AK9WP9qbRXeFFTcgQ,94079267-534d-402e-b447-e06de77f3565.wav,mbuzi jike alienona
0HAewKx9Ut5xNW8M1ePX,a3447e1a-c8e8-4ad3-b2dd-5b8c88f3df01.wav,Daktari kanishauri nikasafishe
0HZBdJhvmPKaU8NoXFHG,313340e6-2af1-46e3-9ea2-211a5676ee67.aac,na Zawadi wakainama
0HawctZTAB1qGowpImdc,c46d6a17-874c-41ef-bb6b-1d3e544967b1.aac,wanunuzi
0HaxIwFRG7udbE2QvDJ8,c5e36360-d73d-4269-83bb-b7d44d40b499.wav,Nitafurahi kujihusisha kwenye
0Hc7mkEoOs9y8kDmyZSd,37bab1e1-5dd2-4fef-91d2-427fc445496e.wav,Nikimwona afande nitakujulisha
0HrdrX6k2BV8znzTP7wy,fe41d4c9-2f93-4a8c-8b68-c98d8c9b769b.wav,Nawahi kwenye jumuia
0I608OhhMTMeeRy4fAux,d97aa4aa-023a-4e27-b21a-8ea168c1942f.wav,wa kidato cha
0I6mNPBhz145IvtQbVNN,8156f0c7-8685-4871-8122-f17ededb7fce.aac,hivyo
0IR42ECLJ10EOHGdAc5o,8d96cd2a-2b38-46b5-8c8f-4f753adb1b77.wav,Anawasumbua walimu yaani kila
0IREXWXOmDJNUw9Qx7rv,c30483c3-0b2c-426c-a44a-1a37ceff81ba.wav,siku kuu
0IU52fSiA5QvNPjPYif3,02e3e38c-3620-4837-a482-6c57f508a0e1.wav,Ilikufika
0IUNbiz8t4R3qX9TOXLZ,213493c6-7145-4a5d-9cd5-b999f9e5544f.aac,Agosti   majira
0Id7AP5AEjUVJUK4DyRK,50ac7cc1-c6f2-4310-9e79-4d79b42cebef.wav,Ee!
0IeMPhbjxLXQstWphJNz,f51dd194-beaf-409b-b2ab-cf91f586fa06.wav,Ekologia
0Ihd4Y7MPIMi3duFDzWM,96993f99-6df5-4b34-8027-14f178298992.wav,kutakua na jumuia
0IhktNC01H3zU1Xjmive,69bb3aad-93eb-4150-b339-9479011d7514.wav,Ataji kosha sana
0IjuBtdW07IwurRunEn8,227fb62d-5f04-41af-b879-bd04a2a53777.wav,watu
0IoSxFErMorISDuYgbKq,0a60bc44-70ae-4fd4-af45-229eb0a0e52c.aac,ujenzi wa
0IrCOBpanNCe9Re4LENI,9ce1c911-330f-4638-a6a8-c1c858f6e9ad.wav,Leo jua ni
0J3u2oVZMe4MO9w6oLr3,d4e3673e-4d9f-4f91-a093-8b3a2de67b75.aac,debe moja yakiwa
0JEPTfqxbfymc0llUKDp,0e23d689-d985-45e8-bad1-2beffec79421.aac,Sokoni
0JEkKNy4if95Am740Se4,815f517a-6dfa-4749-b662-6428fd1db3fa.wav,na jubilii ya
0JI2gBlBfwpA9jknylbP,74c822ac-4f2c-4186-93a9-fd9b992bb2db.wav,Chumbani mwako kuna
0JKH0GfUEFx766ukskF9,b0aae0e5-6f85-441c-9f12-f7222554cbda.wav,kipindupindu katika jimbo
0JQYmJgWUDoFLMPQ6Wl8,40388d2f-0bf7-4004-885c-ff1063fef57e.wav,Ni
0JUF5bHTQhZGC1DZJptk,14b059c8-487f-4949-9797-18d5b669fe0b.wav,Jitahidi
0Jcc905qP5fcrUxT2Ssj,466c72e2-01ba-4656-97ff-741b4fda6eec.aac,Aidha
0KDVEJWCdHghkidOiAgO,a4dcd793-5cf3-4234-8d40-245bb99a4588.wav,na jinsia moja
0KIZDXhv7JK2BbbVKypO,db872aac-32d9-450d-8a7a-73fac702ead3.wav,Wamama wa mitaani
0KKmDAQmHT5XRNky6Vo1,58d0a82d-8492-443b-a7b2-38b51abe296d.wav,adeade
0Kc5mUZ6us0sGmptMqhn,4fdcca9c-949d-415f-a429-c0517b979406.wav,Jozi kumi na
0KeK6AmFiOlWn7UelQ07,ecb69525-f15f-4d85-a74f-a4f562b28903.wav,vitabu
0KfTPPHgeZPP67ubjZuH,36f22abc-f613-49fc-94b4-ad60fd9e4268.aac,vile
